仓库A,仓库B,距离(km)
娄底冷水江仓库,张家界桑植仓库,423.1
娄底冷水江仓库,国网湖南物资公司郴州周转库,350.3
娄底冷水江仓库,郴州苏仙仓库,346.3
娄底冷水江仓库,郴州北湖仓库,350.7
娄底冷水江仓库,郴州桂阳仓库,319.3
娄底冷水江仓库,郴州资兴仓库,341.1
娄底冷水江仓库,衡阳耒阳仓库,262.2
娄底冷水江仓库,郴州安仁仓库,300.5
娄底冷水江仓库,株洲茶陵仓库,303.5
娄底冷水江仓库,株洲炎陵仓库,346.1
娄底冷水江仓库,衡阳常宁仓库,219.3
娄底冷水江仓库,郴州桂东仓库,414.9
娄底冷水江仓库,国网湖南物资公司衡阳周转库,178.1
娄底冷水江仓库,株洲攸县仓库,298.5
娄底冷水江仓库,衡阳衡东仓库,215.7
娄底冷水江仓库,国网湖南物资公司怀化周转库,207
娄底冷水江仓库,国网怀化中方芙蓉路仓库,204.9
娄底冷水江仓库,怀化芷江仓库,244
娄底冷水江仓库,怀化洪江市仓库,254.7
娄底冷水江仓库,怀化洪江区仓库,258.2
娄底冷水江仓库,邵阳洞口仓库,163.2
娄底冷水江仓库,怀化会同仓库,293.1
娄底冷水江仓库,怀化新晃仓库,298.9
娄底冷水江仓库,怀化靖州仓库,313.6
娄底冷水江仓库,邵阳武冈仓库,187.4
娄底冷水江仓库,邵阳绥宁仓库,252.2
娄底冷水江仓库,怀化通道仓库,314.2
娄底冷水江仓库,邵阳城步仓库,240.2
娄底冷水江仓库,国网湖南物资公司岳阳周转库,322.1
娄底冷水江仓库,岳阳云溪仓库,320
娄底冷水江仓库,岳阳君山仓库,349.1
娄底冷水江仓库,岳阳临湘仓库,342.9
娄底冷水江仓库,岳阳县仓库,295.8
娄底冷水江仓库,岳阳华容仓库,318.1
娄底冷水江仓库,岳阳汨罗仓库,258.9
娄底冷水江仓库,岳阳湘阴仓库,235.8
娄底冷水江仓库,岳阳平江仓库,308.1
娄底涟源仓库,邵阳隆回仓库,113.8
娄底涟源仓库,娄底新化仓库,55
娄底涟源仓库,娄底双峰仓库,74.3
娄底涟源仓库,国网湖南物资公司娄底周转库,43.9
娄底涟源仓库,衡阳县仓库,144.5
娄底涟源仓库,衡阳祁东仓库,170.7
娄底涟源仓库,国网湖南物资公司常德周转库,188.9
娄底涟源仓库,常德鼎城仓库,182.1
娄底涟源仓库,常德汉寿仓库,194.9
娄底涟源仓库,常德桃源仓库,181.1
娄底涟源仓库,常德临澧仓库,244.7
娄底涟源仓库,益阳桃江仓库,163.8
娄底涟源仓库,常德安乡仓库,252.5
娄底涟源仓库,常德津市仓库,252.6
娄底涟源仓库,张家界慈利仓库,258.4
娄底涟源仓库,益阳沅江仓库,200.1
娄底涟源仓库,常德澧县仓库,258.8
娄底涟源仓库,国网湖南物资公司常德石门仓库,266.7
娄底涟源仓库,益阳南县仓库,256.4
娄底涟源仓库,益阳安化仓库,153.2
娄底涟源仓库,永州冷水滩仓库,167.5
娄底涟源仓库,国网湖南物资公司永州周转库,184.5
娄底涟源仓库,永州零陵仓库,207.5
娄底涟源仓库,永州东安仓库,189.5
娄底涟源仓库,永州祁阳仓库,190.6
娄底涟源仓库,永州双牌仓库,233.3
娄底涟源仓库,永州新田仓库,278.3
娄底涟源仓库,永州道县仓库,289.3
娄底涟源仓库,邵阳新宁仓库,185.5
娄底涟源仓库,永州宁远仓库,287.6
娄底涟源仓库,永州蓝山仓库,315.8
娄底涟源仓库,郴州嘉禾仓库,324.5
